YY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1984,1,1,0,,223,4.4,5.8,0.8,9.1,4.6,,1031.8,0.8,6.6,999.0,,
1984,1,1,1,,229,5.0,7.0,0.9,9.1,4.7,,1031.7,0.9,6.6,999.0,,
1984,1,1,2,,220,5.0,7.2,1.1,9.1,4.6,,1030.9,1.1,6.6,999.0,,
1984,1,1,3,,241,5.8,8.0,1.2,9.1,4.9,,1030.7,1.5,6.6,999.0,,
1984,1,1,4,,247,6.6,8.3,1.1,8.3,4.1,,1030.5,1.7,6.6,999.0,,
1984,1,1,5,,258,5.6,7.6,1.1,8.3,3.9,,1029.8,1.9,6.5,999.0,,
1984,1,1,6,,283,6.7,8.5,1.2,3.8,3.9,,1029.1,2.4,6.5,999.0,,
1984,1,1,7,,294,6.7,8.7,1.2,4.2,3.8,,1028.9,2.6,6.5,999.0,,
1984,1,1,8,,308,5.3,7.2,1.2,4.3,3.8,,1030.2,2.9,6.5,999.0,,
1984,1,1,9,,332,5.5,7.6,1.0,4.3,3.7,,1029.8,2.8,6.5,999.0,,
1984,1,1,10,,12,9.8,12.4,1.1,4.5,3.6,,1029.9,1.6,6.5,999.0,,
1984,1,1,11,,14,10.1,13.0,1.5,4.3,3.7,,1030.2,1.3,6.5,999.0,,
1984,1,1,12,,11,9.5,13.2,1.7,4.5,4.1,,1030.9,0.9,6.5,999.0,,
1984,1,1,13,,28,9.9,13.3,2.1,5.3,4.4,,1032.4,0.1,6.5,999.0,,
1984,1,1,14,,25,9.2,13.4,2.2,6.3,4.8,,1033.2,0.2,6.5,999.0,,
1984,1,1,15,,27,10.2,14.1,2.5,6.7,4.9,,1033.2,0.1,6.5,999.0,,
1984,1,1,16,,30,9.2,13.6,2.6,6.7,5.1,,1033.8,-0.1,6.5,999.0,,
1984,1,1,17,,23,8.3,11.4,2.4,7.1,5.1,,1033.6,-0.1,6.5,999.0,,
1984,1,1,18,,23,8.2,11.4,2.4,7.1,4.9,,1033.5,-0.4,6.6,999.0,,
1984,1,1,19,,40,8.9,12.6,2.4,7.1,5.0,,1033.7,0.0,6.6,999.0,,
1984,1,1,20,,35,8.5,12.1,2.3,7.7,4.9,,1034.4,-0.2,6.5,999.0,,
1984,1,1,21,,50,8.7,12.4,2.5,7.1,5.1,,1035.2,0.0,6.5,999.0,,
1984,1,1,22,,40,7.7,11.3,2.3,7.1,5.0,,1035.9,0.2,6.5,999.0,,
1984,1,1,23,,39,7.7,10.5,2.2,7.1,5.0,,1036.0,0.2,6.6,999.0,,
1984,1,2,0,,37,7.7,11.1,2.4,7.1,5.1,,1035.9,0.1,6.6,999.0,,
1984,1,2,1,,56,6.8,10.1,2.1,6.7,4.9,,1035.4,0.4,6.5,999.0,,
1984,1,2,2,,56,6.0,9.2,2.1,7.1,5.0,,1035.4,0.6,6.5,999.0,,
1984,1,2,3,,71,5.1,7.8,1.8,7.1,4.8,,1035.4,0.7,6.5,999.0,,
1984,1,2,4,,78,4.5,6.8,1.6,6.7,4.6,,1035.0,0.6,6.6,999.0,,
1984,1,2,5,,58,3.9,6.6,1.8,7.1,4.9,,1034.6,0.0,6.5,999.0,,
1984,1,2,6,,69,5.4,7.9,1.6,7.1,4.8,,1034.2,-0.2,6.5,999.0,,
1984,1,2,7,,,,,1.7,6.7,5.0,,1033.8,-0.4,6.5,999.0,,
1984,1,2,8,,78,4.5,6.9,1.8,6.7,5.0,,1033.2,0.0,6.4,999.0,,
1984,1,2,9,,70,3.4,5.6,1.8,6.3,5.0,,1032.9,-0.4,6.4,999.0,,
1984,1,2,10,,37,2.4,4.9,1.7,6.3,5.0,,1032.3,-0.4,6.4,999.0,,
1984,1,2,11,,30,4.8,6.4,1.7,6.7,5.0,,1031.6,-0.2,6.4,999.0,,
1984,1,2,12,,58,3.4,5.4,1.7,7.7,5.1,,1031.2,-0.6,6.5,999.0,,
1984,1,2,13,,62,3.7,5.3,1.7,7.7,5.0,,1030.7,-0.4,6.5,999.0,,
1984,1,2,14,,75,3.3,4.6,1.8,7.7,5.5,,1030.7,-0.8,6.5,999.0,,
1984,1,2,15,,72,1.7,2.9,1.9,7.1,5.6,,1030.5,-0.6,6.6,999.0,,
1984,1,2,16,,70,0.8,2.0,2.0,7.7,6.1,,1029.3,-0.6,6.6,999.0,,
1984,1,2,17,,120,2.2,3.1,2.3,8.3,6.7,,1027.4,-0.1,6.6,999.0,,
1984,1,2,18,,113,1.6,3.1,1.9,9.1,6.2,,1026.4,-0.2,6.6,999.0,,
1984,1,2,19,,138,1.1,2.3,1.9,8.3,6.3,,1025.0,0.0,6.6,999.0,,
1984,1,2,20,,176,1.0,2.4,1.7,9.1,6.1,,1024.5,0.0,6.5,999.0,,
1984,1,2,21,,200,1.6,2.9,1.6,8.3,6.1,,1023.9,0.0,6.4,999.0,,
1984,1,2,22,,189,2.1,3.2,1.6,9.1,6.0,,1023.4,0.4,6.4,999.0,,
1984,1,2,23,,225,3.4,6.4,1.6,9.1,6.1,,1022.6,1.3,6.4,999.0,,
1984,1,3,0,,238,4.5,7.2,1.5,10.0,6.0,,1021.8,2.0,6.4,999.0,,
1984,1,3,1,,269,6.6,9.0,1.7,10.0,5.8,,1020.9,2.3,6.4,999.0,,
1984,1,3,2,,271,7.0,8.5,1.8,10.0,5.4,,1020.4,2.4,6.4,999.0,,
1984,1,3,3,,273,6.6,9.5,2.1,9.1,5.6,,1019.9,2.4,6.4,999.0,,
1984,1,3,4,,280,6.7,9.2,2.3,10.0,5.8,,1019.4,2.2,6.3,999.0,,
1984,1,3,5,,293,6.9,9.0,2.3,9.1,5.8,,1019.0,2.2,6.4,999.0,,
1984,1,3,6,,286,7.9,10.1,2.3,10.0,5.7,,1018.8,1.8,6.4,999.0,,
1984,1,3,7,,306,7.6,9.7,2.2,11.1,5.4,,1019.3,1.3,6.5,999.0,,
