#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_degT,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2007,1,1,0,0,196,0.1,0.5,0.0,0.0,0.0,,1028.8,-1.0,5.5,-6.1,,
2007,1,1,1,0,183,1.1,2.4,0.0,0.0,0.0,,1029.0,-1.6,5.5,-5.9,,
2007,1,1,2,0,143,0.2,0.7,0.0,0.0,0.0,,1028.3,-3.2,4.0,-6.7,,
2007,1,1,3,0,142,0.3,0.9,0.0,0.0,0.0,,1028.3,-3.8,4.4,-6.3,,
2007,1,1,4,0,188,0.7,1.5,0.0,0.0,0.0,,1028.3,-3.9,4.4,-6.4,,
2007,1,1,5,0,164,0.8,1.9,0.0,0.0,0.0,,1028.3,-4.3,4.0,-6.5,,
2007,1,1,6,0,143,0.1,0.4,0.0,0.0,0.0,,1027.4,-4.3,4.4,-6.5,,
2007,1,1,7,0,49,0.6,2.4,0.0,0.0,0.0,,1026.2,-0.4,4.7,-3.5,,
2007,1,1,8,0,14,0.8,2.1,0.0,0.0,0.0,,1025.7,-0.3,4.4,-3.2,,
2007,1,1,9,0,323,1.2,2.1,0.0,0.0,0.0,,1025.2,-1.1,4.7,-4.6,,
2007,1,1,10,0,16,0.3,1.6,0.0,0.0,0.0,,1024.3,-1.5,4.8,-4.6,,
2007,1,1,11,0,33,0.1,0.4,0.0,0.0,0.0,,1023.6,-1.4,5.1,-3.7,,
2007,1,1,12,0,237,0.2,0.9,0.0,0.0,0.0,,1022.8,-0.4,5.2,-2.4,,
2007,1,1,13,0,258,0.2,0.7,0.0,0.0,0.0,,1022.6,0.0,5.2,-1.5,,
2007,1,1,14,0,186,2.7,4.1,0.0,0.0,0.0,,1021.7,2.1,5.1,0.7,,
2007,1,1,15,0,192,2.2,3.4,0.0,0.0,0.0,,1021.0,2.9,4.8,1.0,,
2007,1,1,16,0,188,2.5,3.7,0.0,0.0,0.0,,1019.5,3.8,5.1,2.4,,
2007,1,1,17,0,166,1.3,2.7,0.0,0.0,0.0,,1017.4,4.0,4.8,2.7,,
2007,1,1,18,0,152,2.0,4.6,0.0,0.0,0.0,,1015.7,4.7,4.8,3.4,,
2007,1,1,19,0,143,1.3,3.2,0.0,0.0,0.0,,1013.5,5.5,5.1,4.4,,
2007,1,1,20,0,145,1.0,2.4,0.0,0.0,0.0,,1012.6,5.9,5.2,5.0,,
2007,1,1,21,0,196,0.4,1.4,0.0,0.0,0.0,,1011.0,6.6,5.5,5.8,,
2007,1,1,22,0,38,0.5,1.0,0.0,0.0,0.0,,1008.8,6.3,5.5,5.5,,
2007,1,1,23,0,10,0.7,1.7,0.0,0.0,0.0,,1007.5,4.6,5.5,3.8,,
2007,1,2,0,0,323,2.8,4.7,0.0,0.0,0.0,,1007.2,3.2,5.5,2.4,,
2007,1,2,1,0,357,1.5,3.3,0.0,0.0,0.0,,1005.9,2.5,5.5,1.7,,
2007,1,2,2,0,335,1.6,2.5,0.0,0.0,0.0,,1004.9,2.8,5.5,1.9,,
2007,1,2,3,0,342,1.9,3.5,0.0,0.0,0.0,,1004.7,3.1,5.5,2.1,,
2007,1,2,4,0,349,0.7,1.6,0.0,0.0,0.0,,1004.0,3.1,5.5,2.0,,
2007,1,2,5,0,331,2.0,4.2,0.0,0.0,0.0,,1002.9,2.9,5.2,1.6,,
2007,1,2,6,0,303,1.8,2.6,0.0,0.0,0.0,,1002.5,2.8,5.1,1.6,,
2007,1,2,7,0,210,0.6,1.2,0.0,0.0,0.0,,1002.1,2.8,5.2,1.5,,
2007,1,2,8,0,222,1.4,2.4,0.0,0.0,0.0,,1002.6,2.8,5.5,1.6,,
2007,1,2,9,0,263,1.8,2.4,0.0,0.0,0.0,,1002.4,2.5,5.5,1.3,,
2007,1,2,10,0,267,2.0,2.9,0.0,0.0,0.0,,1002.5,2.9,5.2,1.6,,
2007,1,2,11,0,259,4.1,5.7,0.0,0.0,0.0,,1003.1,3.6,5.2,1.5,,
2007,1,2,12,0,266,3.4,5.4,0.0,0.0,0.0,,1003.3,4.0,5.5,1.7,,
2007,1,2,13,0,287,3.8,6.1,0.0,0.0,0.0,,1004.9,4.0,5.5,1.7,,
2007,1,2,14,0,302,9.0,13.8,0.0,0.0,0.0,,1006.2,4.8,5.2,999.0,,
2007,1,2,15,0,314,7.7,10.6,0.0,0.0,0.0,,1008.6,5.0,5.2,999.0,,
2007,1,2,16,0,308,7.9,13.3,0.0,0.0,0.0,,1009.9,4.7,5.5,999.0,,
2007,1,2,17,0,335,4.9,8.9,0.0,0.0,0.0,,1010.9,4.0,5.5,999.0,,
2007,1,2,18,0,328,6.1,10.8,0.0,0.0,0.0,,1012.4,3.3,5.2,999.0,,
2007,1,2,19,0,328,3.0,6.6,0.0,0.0,0.0,,1013.4,3.8,5.0,999.0,,
2007,1,2,20,0,274,5.2,7.4,0.0,0.0,0.0,,1014.9,4.2,4.8,999.0,,
2007,1,2,21,0,271,3.9,5.5,0.0,0.0,0.0,,1016.4,3.9,4.8,999.0,,
2007,1,2,22,0,278,3.8,5.1,0.0,0.0,0.0,,1017.7,3.0,4.4,999.0,,
2007,1,2,23,0,282,3.3,4.9,0.0,0.0,0.0,,1018.9,2.1,4.7,999.0,,
2007,1,3,0,0,269,2.1,2.9,0.0,0.0,0.0,,1020.3,1.3,5.2,999.0,,
2007,1,3,1,0,277,3.0,4.2,0.0,0.0,0.0,,1021.0,0.8,5.6,999.0,,
