#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 04 15 03 50 999 99.0 99.0  1.53  5.56  4.81  63 1028.5   2.1   4.5 999.0 99.0 99.00
2018 04 15 04 50 999 99.0 99.0  1.57  5.56  4.89  71 1029.1   2.1   4.5 999.0 99.0 99.00
2018 04 15 05 50 999 99.0 99.0  1.43  5.26  4.63  75 1029.7   2.1   4.4 999.0 99.0 99.00
2018 04 15 06 50 999 99.0 99.0  1.41  5.00  4.57  68 1029.3   2.0   4.4 999.0 99.0 99.00
2018 04 15 07 50 999 99.0 99.0  1.40  4.55  4.64  66 1029.9   1.4   4.4 999.0 99.0 99.00
2018 04 15 08 50 999 99.0 99.0  1.56  4.76  4.59  69 1030.1   1.3   4.4 999.0 99.0 99.00
2018 04 15 09 50 999 99.0 99.0  1.59  5.56  4.68  93 1031.2  -1.0   4.4 999.0 99.0 99.00
2018 04 15 10 50 999 99.0 99.0  1.86  5.88  4.83  85 1032.0  -1.7   4.3 999.0 99.0 99.00
2018 04 15 11 50 999 99.0 99.0  1.86  5.88  4.93  80 1032.8  -1.5   4.3 999.0 99.0 99.00
2018 04 15 12 50 999 99.0 99.0  1.88  6.67  5.09  91 1033.4  -1.3   4.2 999.0 99.0 99.00
2018 04 15 13 50 999 99.0 99.0  2.01  6.67  5.19  91 1033.7  -1.6   4.2 999.0 99.0 99.00
2018 04 15 14 50 999 99.0 99.0  1.97  6.67  5.17  89 1034.1  -1.4   4.2 999.0 99.0 99.00
2018 04 15 15 50 999 99.0 99.0  1.81  6.67  5.05  86 1034.3  -1.7   4.2 999.0 99.0 99.00
2018 04 15 16 50 999 99.0 99.0  1.99  6.67  5.29  86 1034.0  -1.7   4.2 999.0 99.0 99.00
2018 04 15 17 50 999 99.0 99.0  1.81  6.67  5.19  95 1034.3  -1.5   4.2 999.0 99.0 99.00
2018 04 15 18 50 999 99.0 99.0  1.83  6.67  5.15  90 1033.8  -1.2   4.2 999.0 99.0 99.00
2018 04 15 19 50 999 99.0 99.0  1.76  6.67  5.04  91 1033.5  -0.7   4.3 999.0 99.0 99.00
2018 04 15 20 50 999 99.0 99.0  1.57  6.67  4.77  88 1033.3  -0.1   4.3 999.0 99.0 99.00
2018 04 15 21 50 999 99.0 99.0  1.64  6.25  4.72  95 1033.2   0.3   4.3 999.0 99.0 99.00
2018 04 15 22 50 999 99.0 99.0  1.56  5.88  4.68  87 1032.9   0.5   4.3 999.0 99.0 99.00
2018 04 15 23 50 999 99.0 99.0  1.69  5.56  4.80  95 1033.0   1.1   4.2 999.0 99.0 99.00
2018 04 16 00 50 999 99.0 99.0  1.72  5.88  4.74  90 1033.6   1.6   4.2 999.0 99.0 99.00
2018 04 16 01 50 999 99.0 99.0  1.72  6.25  4.72  94 1033.0   2.0   4.2 999.0 99.0 99.00
2018 04 16 02 50 999 99.0 99.0  1.88  6.25  4.86 106 1032.2   2.3   4.2 999.0 99.0 99.00
2018 04 16 03 50 999 99.0 99.0  1.79  5.88  4.87  89 1031.7   2.3   4.2 999.0 99.0 99.00
2018 04 16 04 50 999 99.0 99.0  2.12  6.25  5.03  96 1030.8   1.3   4.2 999.0 99.0 99.00
2018 04 16 05 50 999 99.0 99.0  2.09  6.25  5.01 100 1031.0   2.6   4.2 999.0 99.0 99.00
2018 04 16 06 50 999 99.0 99.0  2.09  6.67  5.17 102 1030.1   2.7   4.2 999.0 99.0 99.00
2018 04 16 07 50 999 99.0 99.0  2.25  6.25  5.37 113 1029.4   2.8   4.3 999.0 99.0 99.00
2018 04 16 08 50 999 99.0 99.0  2.71  7.14  5.59 123 1028.7   3.0   4.3 999.0 99.0 99.00
2018 04 16 09 50 999 99.0 99.0  3.29  6.67  5.97 104 1027.7   2.6   4.3 999.0 99.0 99.00
2018 04 16 10 50 999 99.0 99.0  3.31  7.69  6.08 138 1026.7   1.5   4.4 999.0 99.0 99.00
2018 04 16 11 50 999 99.0 99.0  3.12  7.14  6.08 126 1026.1   1.8   4.4 999.0 99.0 99.00
2018 04 16 12 50 999 99.0 99.0  3.27  8.33  6.10 129 1025.2   2.2   4.4 999.0 99.0 99.00
2018 04 16 13 50 999 99.0 99.0  3.45  8.33  6.17 132 1023.5   2.7   4.4 999.0 99.0 99.00
2018 04 16 14 50 999 99.0 99.0  3.54  7.69  6.41 121 1022.1   2.7   4.4 999.0 99.0 99.00
2018 04 16 15 50 999 99.0 99.0  3.75  8.33  6.51 128 1020.1   2.7   4.4 999.0 99.0 99.00
2018 04 16 16 50 999 99.0 99.0  4.50  9.09  6.95 131 1018.7   3.2   4.4 999.0 99.0 99.00
2018 04 16 17 50 999 99.0 99.0  4.78  9.09  7.24 128 1016.4   3.7   4.4 999.0 99.0 99.00
2018 04 16 18 50 999 99.0 99.0  4.35  9.09  7.04 123 1014.5   4.3   4.4 999.0 99.0 99.00
2018 04 16 19 50 999 99.0 99.0  5.19  9.09  7.47 119 1012.8   4.9   4.4 999.0 99.0 99.00
2018 04 16 20 50 999 99.0 99.0  4.42 10.00  7.24 123 1011.0   5.3   4.5 999.0 99.0 99.00
2018 04 16 21 50 999 99.0 99.0  4.50 10.00  7.24 106 1010.3   5.7   4.5 999.0 99.0 99.00
2018 04 16 22 50 999 99.0 99.0  4.82  9.09  7.24 118 1008.8   5.9   4.5 999.0 99.0 99.00
2018 04 16 23 50 999 99.0 99.0  4.58 10.00  7.05 122 1006.1   6.3   4.5 999.0 99.0 99.00
2018 04 17 00 50 999 99.0 99.0  4.74 10.00  7.22 129 1005.4   6.6   4.5 999.0 99.0 99.00
2018 04 17 01 50 999 99.0 99.0  4.16  9.09  6.79 122 1002.8   6.8   4.5 999.0 99.0 99.00
2018 04 17 02 50 999 99.0 99.0  4.60 10.00  7.07 124 1001.7   7.3   4.6 999.0 99.0 99.00
2018 04 17 03 50 999 99.0 99.0  4.80 10.00  7.53 113 1001.3   7.3   4.6 999.0 99.0 99.00
2018 04 17 04 50 999 99.0 99.0  4.23 10.00  7.38 108 1000.9   7.9   4.6 999.0 99.0 99.00
2018 04 17 05 50 999 99.0 99.0  4.03 10.00  7.27 109  999.6   7.3   4.6 999.0 99.0 99.00
2018 04 17 06 50 999 99.0 99.0  4.25 10.00  7.70 100  999.3   6.4   4.6 999.0 99.0 99.00
2018 04 17 07 50 999 99.0 99.0  4.03 10.00  7.81 102  998.8   6.0   4.6 999.0 99.0 99.00
2018 04 17 08 50 999 99.0 99.0  3.78 10.00  7.41 107  998.3   5.9   4.6 999.0 99.0 99.00
2018 04 17 09 50 999 99.0 99.0  3.36 10.00  7.41 118  998.1   5.3   4.6 999.0 99.0 99.00
2018 04 17 10 50 999 99.0 99.0  3.45 10.00  7.62 108  998.0   6.5   4.6 999.0 99.0 99.00
2018 04 17 11 50 999 99.0 99.0  3.32 10.00  7.56 115  998.2   6.1   4.6 999.0 99.0 99.00
2018 04 17 12 50 999 99.0 99.0  2.74 10.00  6.83 116  997.8   7.4   4.6 999.0 99.0 99.00
2018 04 17 13 50 999 99.0 99.0  2.71  9.09  6.69 108  998.0   6.2   4.6 999.0 99.0 99.00
2018 04 17 14 50 999 99.0 99.0  2.70 10.00  6.76 115  997.9   6.9   4.7 999.0 99.0 99.00
2018 04 17 15 50 999 99.0 99.0  2.51 10.00  6.49 102  997.5   6.6   4.7 999.0 99.0 99.00
2018 04 17 16 50 999 99.0 99.0  2.49 10.81  6.64 138  997.3   6.7   4.7 999.0 99.0 99.00
2018 04 17 17 50 999 99.0 99.0  2.67 10.00  6.89 103  997.4   6.9   4.7 999.0 99.0 99.00
2018 04 17 18 50 999 99.0 99.0  2.77 10.81  7.19 148  997.0   7.0   4.7 999.0 99.0 99.00
2018 04 17 19 50 999 99.0 99.0  2.75 10.00  6.92 108  997.1   6.8   4.8 999.0 99.0 99.00
2018 04 17 20 50 999 99.0 99.0  2.91  9.09  7.07 105  997.2   6.9   4.8 999.0 99.0 99.00
2018 04 17 21 50 999 99.0 99.0  3.11 10.00  7.23 122  997.8   5.6   4.8 999.0 99.0 99.00
2018 04 17 22 50 999 99.0 99.0  2.86 10.00  7.16 115  998.4   5.4   4.7 999.0 99.0 99.00
2018 04 17 23 50 999 99.0 99.0  2.39 10.81  6.81 122  999.0   5.5   4.7 999.0 99.0 99.00
2018 04 18 00 50 999 99.0 99.0  2.37 10.00  6.83 105  999.2   5.4   4.7 999.0 99.0 99.00
2018 04 18 01 50 999 99.0 99.0  1.98 10.81  6.25 114  999.4   5.1   4.7 999.0 99.0 99.00
2018 04 18 02 50 999 99.0 99.0  1.85 10.81  6.11 126  999.7   5.0   4.7 999.0 99.0 99.00
2018 04 18 03 50 999 99.0 99.0  1.95 10.81  6.09 116  999.6   4.5   4.6 999.0 99.0 99.00
2018 04 18 04 50 999 99.0 99.0  1.83 10.00  5.65 112  999.6   4.3   4.6 999.0 99.0 99.00
2018 04 18 05 50 999 99.0 99.0  2.11 10.00  5.85 117  999.3   4.0   4.6 999.0 99.0 99.00
2018 04 18 06 50 999 99.0 99.0  2.45 10.00  6.04 117  999.1   3.8   4.6 999.0 99.0 99.00
2018 04 18 07 50 999 99.0 99.0  2.64  9.09  6.15 116  999.5   3.7   4.6 999.0 99.0 99.00
2018 04 18 08 50 999 99.0 99.0  2.36  9.09  5.71 141  999.8   3.6   4.5 999.0 99.0 99.00
2018 04 18 09 50 999 99.0 99.0  2.51 10.00  6.05 124 1000.1   3.3   4.5 999.0 99.0 99.00
2018 04 18 10 50 999 99.0 99.0  2.50 10.00  6.01 110 1000.9   4.0   4.5 999.0 99.0 99.00
2018 04 18 11 50 999 99.0 99.0  2.39 10.00  5.79 123 1001.4   4.4   4.5 999.0 99.0 99.00
2018 04 18 12 50 999 99.0 99.0  2.24  6.67  5.63 196 1001.5   4.9   4.5 999.0 99.0 99.00
2018 04 18 13 50 999 99.0 99.0  2.03  6.25  5.57 229 1001.9   4.9   4.5 999.0 99.0 99.00
2018 04 18 14 50 999 99.0 99.0  1.95  5.88  5.46 237 1001.8   4.9   4.5 999.0 99.0 99.00
2018 04 18 15 50 999 99.0 99.0  1.91  6.25  5.46 210 1001.7   5.2   4.6 999.0 99.0 99.00
2018 04 18 16 50 999 99.0 99.0  1.82  6.25  5.33 208 1001.7   5.6   4.6 999.0 99.0 99.00
2018 04 18 17 50 999 99.0 99.0  1.99 10.00  5.62 116 1002.0   5.9   4.5 999.0 99.0 99.00
2018 04 18 18 50 999 99.0 99.0  1.77 10.00  5.58 107 1002.2   6.4   4.5 999.0 99.0 99.00
2018 04 18 19 50 999 99.0 99.0  1.75 10.00  5.73 143 1002.4   6.7   4.6 999.0 99.0 99.00
2018 04 18 20 50 999 99.0 99.0  1.73 10.00  5.82 149 1002.8   7.1   4.6 999.0 99.0 99.00
2018 04 18 21 50 999 99.0 99.0  1.74  8.33  5.96 136 1003.4   5.8   4.6 999.0 99.0 99.00
2018 04 18 22 50 999 99.0 99.0  1.67  9.09  5.74 126 1003.6   5.7   4.6 999.0 99.0 99.00
2018 04 18 23 50 999 99.0 99.0  1.57 10.00  5.89 131 1004.3   5.6   4.6 999.0 99.0 99.00
2018 04 19 00 50 999 99.0 99.0  1.38  9.09  5.78 136 1005.1   5.9   4.6 999.0 99.0 99.00
2018 04 19 01 50 999 99.0 99.0  1.22 10.00  5.55 142 1005.5   5.9   4.6 999.0 99.0 99.00
2018 04 19 02 50 999 99.0 99.0  1.26 10.81  5.25 128 1005.5   5.7   4.6 999.0 99.0 99.00
2018 04 19 03 50 999 99.0 99.0  1.22  4.55  5.09 238 1005.2   5.6   4.6 999.0 99.0 99.00
2018 04 19 04 50 999 99.0 99.0  1.14 10.00  5.02 124 1005.0   5.7   4.6 999.0 99.0 99.00
2018 04 19 05 50 999 99.0 99.0  1.30 10.81  4.97 136 1005.1   5.5   4.6 999.0 99.0 99.00
2018 04 19 07 50 999 99.0 99.0  1.52 10.00  5.13 121 1005.2   4.9   4.6 999.0 99.0 99.00
2018 04 19 08 50 999 99.0 99.0  1.52 10.00  5.28 133 1004.5   4.9   4.6 999.0 99.0 99.00
2018 04 19 09 50 999 99.0 99.0  1.58  9.09  5.48 131 1005.7   4.9   4.6 999.0 99.0 99.00
2018 04 19 10 50 999 99.0 99.0  1.40  8.33  5.41 119 1006.3   4.9   4.6 999.0 99.0 99.00
2018 04 19 11 50 999 99.0 99.0  1.35 10.00  5.23 118 1006.4   5.2   4.6 999.0 99.0 99.00
2018 04 19 12 50 999 99.0 99.0  1.27 10.00  5.31 114 1006.4   5.0   4.6 999.0 99.0 99.00
2018 04 19 13 50 999 99.0 99.0  1.16  7.69  4.95 138 1006.5   3.6   4.6 999.0 99.0 99.00
2018 04 19 14 50 999 99.0 99.0  1.04 10.81  4.75 149 1006.3   2.6   4.6 999.0 99.0 99.00
2018 04 19 15 50 999 99.0 99.0  1.04 10.00  4.83 136 1005.6   2.1   4.6 999.0 99.0 99.00
2018 04 19 16 50 999 99.0 99.0  0.95 10.00  4.87 122 1005.1   1.5   4.6 999.0 99.0 99.00
2018 04 19 17 50 999 99.0 99.0  0.83 10.00  4.89 164 1005.0   3.9   4.7 999.0 99.0 99.00
2018 04 19 18 50 999 99.0 99.0  0.81  9.09  5.34 151 1004.7   2.4   4.7 999.0 99.0 99.00
2018 04 19 19 50 999 99.0 99.0  0.83  9.09  5.60 130 1005.0   2.4   4.7 999.0 99.0 99.00
2018 04 19 20 50 999 99.0 99.0  0.88  9.09  6.09 120 1004.4   2.3   4.7 999.0 99.0 99.00
2018 04 19 21 50 999 99.0 99.0  1.04  9.09  6.83 131 1005.3   2.5   4.7 999.0 99.0 99.00
2018 04 19 22 50 999 99.0 99.0  0.94  9.09  6.72 111 1005.7   2.9   4.6 999.0 99.0 99.00
2018 04 19 23 50 999 99.0 99.0  1.01  7.69  6.24 134 1006.1   3.4   4.6 999.0 99.0 99.00
2018 04 20 00 50 999 99.0 99.0  1.09  9.09  5.95 127 1006.2   4.1   4.6 999.0 99.0 99.00
2018 04 20 01 50 999 99.0 99.0  1.01 10.00  5.24 124 1006.8   4.3   4.6 999.0 99.0 99.00
2018 04 20 02 50 999 99.0 99.0  0.99  8.33  4.58 136 1006.5   4.1   4.6 999.0 99.0 99.00
2018 04 20 03 50 999 99.0 99.0  0.94  9.09  4.51 133 1006.4   4.4   4.6 999.0 99.0 99.00
2018 04 20 04 50 999 99.0 99.0  0.94  4.00  4.15 305 1006.7   4.5   4.6 999.0 99.0 99.00
2018 04 20 05 50 999 99.0 99.0  0.97  4.55  4.31 287 1007.1   4.2   4.6 999.0 99.0 99.00
2018 04 20 06 50 999 99.0 99.0  0.84  4.35  4.02 286 1007.2   4.2   4.6 999.0 99.0 99.00
2018 04 20 07 50 999 99.0 99.0  0.89  9.09  3.95 116 1007.9   3.8   4.6 999.0 99.0 99.00
2018 04 20 08 50 999 99.0 99.0  0.97  9.09  4.05  96 1008.5   3.9   4.6 999.0 99.0 99.00
2018 04 20 09 50 999 99.0 99.0  1.11  4.55  4.10 264 1009.0   4.1   4.6 999.0 99.0 99.00
2018 04 20 10 50 999 99.0 99.0  1.27  4.76  4.33 262 1010.0   3.8   4.6 999.0 99.0 99.00
2018 04 20 11 50 999 99.0 99.0  1.44  4.76  4.43 255 1010.6   4.6   4.6 999.0 99.0 99.00
2018 04 20 12 50 999 99.0 99.0  1.56  5.26  4.69 263 1011.2   4.2   4.6 999.0 99.0 99.00
2018 04 20 13 50 999 99.0 99.0  1.57  5.56  5.07 263 1012.0   5.5   4.6 999.0 99.0 99.00
2018 04 20 14 50 999 99.0 99.0  1.47  5.26  4.88 253 1012.7   6.0   4.7 999.0 99.0 99.00
2018 04 20 15 50 999 99.0 99.0  1.48  5.26  5.19 253 1013.1   6.7   4.7 999.0 99.0 99.00
2018 04 20 16 50 999 99.0 99.0  1.22  5.26  5.14 254 1013.4   6.1   4.8 999.0 99.0 99.00
2018 04 20 17 50 999 99.0 99.0  1.14 10.81  5.22 140 1013.8   6.5   4.8 999.0 99.0 99.00
2018 04 20 18 50 999 99.0 99.0  1.03 10.00  4.99 137 1014.1   6.3   4.9 999.0 99.0 99.00
2018 04 20 19 50 999 99.0 99.0  1.04  9.09  5.01 132 1014.7   6.6   4.9 999.0 99.0 99.00
2018 04 20 20 50 999 99.0 99.0  1.03 10.00  5.13 113 1015.5   6.1   4.9 999.0 99.0 99.00
2018 04 20 21 50 999 99.0 99.0  1.17  9.09  5.50 135 1016.4   5.9   4.9 999.0 99.0 99.00
2018 04 20 22 50 999 99.0 99.0  1.16  9.09  5.26 143 1017.3   6.1   4.9 999.0 99.0 99.00
