YYYY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE_ft
1999,1,1,0,,230,5.6,7.7,0.56,11.11,4.97,,1017.9,-6.2,,,,
1999,1,1,1,,235,7.0,8.7,0.43,11.11,4.48,,1017.2,-5.6,,,,
1999,1,1,2,,233,7.2,9.7,0.53,12.5,4.27,,1016.6,-5.2,,,,
1999,1,1,3,,234,6.4,7.9,0.66,11.11,4.15,,1015.9,-5.1,,,,
1999,1,1,4,,258,3.1,5.4,0.63,12.5,4.49,,1015.5,-5.3,,,,
1999,1,1,5,,234,5.1,7.1,0.67,11.11,4.68,,1015.0,-5.0,,,,
1999,1,1,6,,233,5.7,8.4,0.69,12.5,5.04,,1014.4,-4.7,,,,
1999,1,1,7,,230,7.0,8.6,0.77,11.11,5.1,,1014.6,-4.9,,,,
1999,1,1,8,,,,,,,,,,,,,,
1999,1,1,9,,238,7.6,9.4,0.9,11.11,5.61,,1013.7,-4.7,,,,
1999,1,1,10,,236,7.4,8.6,0.88,11.11,4.83,,1013.2,-4.8,,,,
1999,1,1,11,,241,9.3,10.7,0.82,10.0,4.76,,1012.7,-4.7,,,,
1999,1,1,12,,232,9.3,10.9,0.88,12.5,4.12,,1012.4,-5.1,,,,
1999,1,1,13,,239,9.6,11.7,0.88,12.5,4.33,,1012.1,-5.2,,,,
1999,1,1,14,,245,9.5,11.5,0.87,3.85,3.86,,1012.3,-5.4,,,,
1999,1,1,15,,252,9.9,12.1,0.9,12.5,3.94,,1012.6,-5.3,,,,
1999,1,1,16,,257,8.6,10.4,0.85,4.17,3.87,,1012.3,-5.6,,,,
1999,1,1,17,,265,12.1,14.4,0.98,4.35,3.83,,1011.5,-3.5,,,,
1999,1,1,18,,276,14.2,17.7,1.31,3.45,3.96,,1012.0,-2.9,,,,
1999,1,1,19,,288,11.8,14.0,1.4,5.0,4.08,,1014.6,-5.0,,,,
1999,1,1,20,,289,12.5,15.4,1.11,5.26,3.92,,1016.0,-5.4,,,,
1999,1,1,21,,296,13.0,17.0,1.1,3.57,3.76,,1018.0,-6.6,,,,
1999,1,1,22,,286,13.9,17.2,1.21,3.57,3.7,,1020.1,-8.5,,,,
1999,1,1,23,,293,10.6,14.2,0.94,3.33,3.7,,1023.1,-11.3,,,,
1999,1,2,0,,294,11.0,13.8,0.73,3.45,3.58,,1024.5,-12.8,,,,
1999,1,2,1,,293,10.1,13.0,0.75,3.33,3.52,,1026.4,-13.8,,,,
1999,1,2,2,,293,10.8,13.3,0.72,3.23,3.26,,1027.1,-14.6,,,,
1999,1,2,3,,296,9.4,11.5,,,,,1028.4,-15.2,,,,
1999,1,2,4,,294,6.9,9.1,0.51,3.23,3.52,,1029.7,-16.5,,,,
1999,1,2,5,,303,6.5,8.8,0.49,2.94,3.37,,1030.9,-17.2,,,,
1999,1,2,6,,290,7.1,9.7,0.53,11.11,3.34,,1031.7,-17.5,,,,
1999,1,2,7,,284,7.6,9.9,0.48,2.78,3.32,,1031.7,-17.9,,,,
1999,1,2,8,,278,6.8,8.5,0.5,3.12,3.45,,1032.3,-17.7,,,,
1999,1,2,9,,275,7.5,9.7,0.65,3.12,3.33,,1032.3,-17.7,,,,
1999,1,2,10,,269,8.4,10.1,0.64,3.23,3.44,,1031.8,-17.8,,,,
1999,1,2,11,,268,8.4,10.8,0.6,3.45,3.48,,1031.8,-17.6,,,,
1999,1,2,12,,274,7.4,9.2,0.62,3.12,3.41,,1031.4,-17.4,,,,
1999,1,2,13,,280,6.6,8.2,0.57,3.45,3.51,,1031.6,-17.0,,,,
1999,1,2,14,,269,5.6,7.0,0.5,3.85,3.58,,1031.9,-16.8,,,,
1999,1,2,15,,277,4.7,6.6,0.45,4.0,3.7,,1032.3,-16.1,,,,
1999,1,2,16,,274,4.3,5.5,0.4,4.35,3.83,,1031.6,-14.9,,,,
1999,1,2,17,,259,4.1,6.1,0.4,11.11,4.06,,1030.6,-13.4,,,,
1999,1,2,18,,246,5.1,6.9,0.34,11.11,4.05,,1030.4,-11.5,,,,
1999,1,2,19,,261,5.7,7.8,0.33,10.0,4.19,,1030.0,-9.8,,,,
1999,1,2,20,,262,6.1,8.1,0.32,10.0,3.99,,1030.2,-8.7,,,,
1999,1,2,21,,261,7.0,9.5,0.4,10.0,3.78,,1030.6,-7.5,,,,
