Hours,WaterTemp
1,3.2
2,3.2
3,3.2
4,3.2
5,3.1
6,3.1
7,3.1
8,3.2
9,3.2
10,3.2
11,3.2
12,3.2
13,3.2
14,3.2
15,3.2
16,3.2
17,3.2
18,3.2
19,3.2
20,3.2
21,3.2
22,3.3
23,3.3
24,3.2
25,3.2
26,3.2
27,3.2
28,3.2
29,3.2
30,3.1
31,3.1
32,3.1
33,3.1
34,3.1
35,3.1
36,3.1
37,3.1
38,3.1
39,3.2
40,3.2
41,3.3
42,3.3
43,3.3
44,3.4
45,3.5
46,3.6
47,3.6
48,3.5
49,3.5
50,3.5
51,3.4
52,3.4
53,3.4
54,3.3
55,3.3
56,3.3
57,3.3
58,3.3
59,3.3
60,3.3
61,3.3
62,3.3
63,3.3
67,3.2
68,3.3
69,3.3
70,3.3
71,3.3
72,3.3
73,3.3
74,3.2
75,3.1
76,3.1
77,3.2
78,3.3
79,3.2
80,3.2
81,3.3
82,3.2
83,3.2
84,3.2
85,3.3
86,3.4
87,3.4
88,3.5
89,3.5
90,3.6
91,3.7
92,3.6
93,3.6
94,3.6
95,3.6
96,3.6
97,3.7
98,3.7
99,3.7
100,3.7
101,3.6
102,3.6
103,3.6
104,3.6
105,3.6
106,3.6
107,3.6
108,3.6
109,3.6
110,3.6
111,3.6
112,3.6
113,3.6
114,3.6
115,3.6
116,3.6
117,3.7
118,3.7
119,3.7
120,3.7
121,3.7
122,3.7
123,3.7
124,3.7
125,3.7
126,3.7
127,3.7
128,3.8
129,3.8
130,3.8
131,3.8
132,3.8
133,3.8
134,3.8
135,3.8
136,3.8
137,3.7
138,3.7
139,3.7
140,3.9
141,3.9
142,3.9
143,3.9
144,3.9
145,4.0
146,4.0
147,3.9
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.1
154,4.0
155,4.0
156,4.0
157,4.0
158,4.1
159,4.1
160,4.2
161,4.2
162,4.2
163,4.3
164,4.3
165,4.4
166,4.3
167,4.2
168,4.1
169,4.1
170,4.0
171,4.0
172,4.0
173,3.9
174,3.8
175,3.8
176,3.8
177,3.8
178,3.7
179,3.6
180,3.5
181,3.4
182,3.4
183,3.4
184,3.3
185,3.3
186,3.3
187,3.4
188,3.4
189,3.5
190,3.4
191,3.4
192,3.4
193,3.3
194,3.2
195,3.2
196,3.2
197,3.3
198,3.3
199,3.3
200,3.3
201,3.3
202,3.2
203,3.2
204,3.2
205,3.1
206,3.1
207,3.1
208,3.1
209,3.1
210,3.0
211,3.0
212,3.0
213,3.1
214,3.1
215,3.0
216,3.1
217,3.1
218,3.1
