YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00 339 11.8 15.0   .91  3.70  3.47 999 1024.5 -11.2   5.6 999.0 99.0
97 01 01 01 337 10.5 13.2   .83  3.57  3.35 999 1025.9 -12.5   5.6 999.0 99.0
97 01 01 02 322  9.1 12.2   .73  3.57  3.38 999 1027.1 -13.0   5.6 999.0 99.0
97 01 01 03 329 11.1 14.1   .81  3.57  3.31 999 1027.0 -13.2   5.6 999.0 99.0
97 01 01 04 321  8.8 11.3   .64  3.57  3.32 999 1027.3 -13.8   5.6 999.0 99.0
97 01 01 05 318  9.3 12.7   .58  3.57  3.21 999 1027.1 -13.9   5.6 999.0 99.0
97 01 01 06 320 11.0 14.6   .61  3.23  3.14 999 1026.6 -13.6   5.6 999.0 99.0
97 01 01 07 318 11.6 14.6   .70  3.45  3.25 999 1026.4 -12.8   5.6 999.0 99.0
97 01 01 08 315 10.8 15.2   .69  3.33  3.25 999 1026.5 -12.5   5.5 999.0 99.0
97 01 01 09 320 10.4 13.5   .69  3.45  3.23 999 1026.6 -12.3   5.6 999.0 99.0
97 01 01 10 308  7.5  9.3   .48  2.78  2.96 999 1027.2 -12.7   5.5 999.0 99.0
97 01 01 11 305  6.4  7.7   .29  2.78  2.97 999 1027.4 -13.2   5.2 999.0 99.0
97 01 01 12 318  8.2  9.7   .21  2.50  3.11 999 1026.9 -11.9   5.2 999.0 99.0
97 01 01 13 293  5.8  7.2   .27  2.70  2.85 999 1028.5 -11.8   4.8 999.0 99.0
97 01 01 14 302  3.5  4.9   .22  3.03  3.19 999 1028.8 -12.7   4.9 999.0 99.0
97 01 01 15 280  4.3  6.3   .18  2.70  3.26 999 1028.8 -11.4   4.7 999.0 99.0
97 01 01 16 309  1.5  3.0   .18  2.70  3.33 999 1027.3 -10.1   4.7 999.0 99.0
97 01 01 17 337  3.9  6.2   .19  2.50  3.13 999 1025.7  -7.7   4.8 999.0 99.0
97 01 01 18 357  1.3  2.4   .17  2.56  3.63 999 1025.2  -7.0   4.8 999.0 99.0
97 01 01 19 284  1.3  3.4   .19  2.78  3.35 999 1024.1  -6.9   4.8 999.0 99.0
97 01 01 20 245  2.7  4.2   .16  2.56  3.70 999 1024.1  -6.9   4.7 999.0 99.0
97 01 01 21 241  2.4  4.5   .15 10.00  4.73 999 1023.5  -6.9   4.8 999.0 99.0
97 01 01 22 245  3.0  4.8   .16 10.00  5.01 999 1023.5  -6.6   4.7 999.0 99.0
97 01 01 23 256  3.4  5.2   .15  9.09  5.12 999 1023.4  -6.3   4.8 999.0 99.0
97 01 02 00 234  4.7  6.6   .16  9.09  5.78 999 1022.7  -5.9   4.8 999.0 99.0
97 01 02 01 218  5.9  8.2   .26  2.63  3.17 999 1021.2  -5.1   5.0 999.0 99.0
97 01 02 02 226  7.8 11.0   .48  3.03  3.13 999 1020.0  -3.9   4.8 999.0 99.0
97 01 02 03 216  7.8 10.1   .72  3.33  3.31 999 1018.3  -3.2   5.1 999.0 99.0
97 01 02 04 228 10.1 12.8   .81  3.85  3.59 999 1018.1  -2.2   5.1 999.0 99.0
97 01 02 05 236 10.0 12.2   .96  4.35  3.91 999 1016.7  -2.6   5.2 999.0 99.0
97 01 02 06 220 11.1 13.5  1.19  4.76  4.16 999 1014.9  -1.1   5.2 999.0 99.0
97 01 02 07 248  7.1  8.8  1.19  5.26  4.29 999 1014.4  -3.1   5.2 999.0 99.0
97 01 02 08 245  7.7  9.6  1.07  5.00  4.27 999 1013.4  -2.7   5.2 999.0 99.0
97 01 02 09 250  7.9  9.6  1.30  5.88  4.48 999 1012.1  -2.2   5.2 999.0 99.0
97 01 02 10 241  7.5  9.3  1.26  5.56  4.45 999 1011.0  -2.4   5.2 999.0 99.0
97 01 02 11 247  7.5  9.6  1.28  5.88  4.61 999 1010.1  -1.9   5.2 999.0 99.0
97 01 02 12 256  7.0  8.4  1.06  5.26  4.33 999 1009.3  -1.5   5.2 999.0 99.0
97 01 02 13 248  7.2  8.6  1.05  6.25  4.55 999 1008.9  -1.8   5.5 999.0 99.0
97 01 02 14 255  5.8  6.9  1.11  5.88  4.80 999 1008.4  -1.9   5.5 999.0 99.0
97 01 02 15 275  5.5  6.9  1.10  5.88  4.73 999 1008.5  -2.2   5.5 999.0 99.0
97 01 02 16 312  2.8  4.4  1.15  5.88  4.96 999 1007.4  -2.7   5.5 999.0 99.0
97 01 02 17 330  3.2  4.6   .94  5.88  4.77 999 1006.7  -2.6   4.8 999.0 99.0
97 01 02 18 344  3.3  4.8   .88  5.88  4.74 999 1005.5  -2.7   5.0 999.0 99.0
97 01 02 19 353  3.7  5.0   .72  5.56  4.61 999 1005.6  -2.8   5.1 999.0 99.0
97 01 02 20 353  2.5  3.8   .79  5.26  4.65 999 1005.6  -2.6   5.1 999.0 99.0
97 01 02 21 337  2.6  3.8   .68  5.26  4.60 999 1006.2  -2.3   5.1 999.0 99.0
97 01 02 22 358  3.5  5.1   .61  5.26  4.66 999 1006.3  -2.0   5.2 999.0 99.0
97 01 02 23   3  2.6  3.6   .57  5.56  4.77 999 1006.8  -2.0   5.2 999.0 99.0
97 01 03 00 341  2.2  3.6   .54  5.56  4.82 999 1007.0  -1.8   5.1 999.0 99.0
97 01 03 01  32  3.8  5.7   .50  5.56  4.85 999 1006.4  -1.7   5.1 999.0 99.0
97 01 03 02 360  2.9  4.2   .50  5.26  4.87 999 1007.3  -1.5   5.1 999.0 99.0
97 01 03 03  40  2.9  4.3   .46  5.88  5.06 999 1006.9  -1.5   5.1 999.0 99.0
97 01 03 04  60  2.4  3.4   .42  5.56  4.78 999 1006.8  -1.4   4.8 999.0 99.0
97 01 03 05  44  2.3  3.3   .42  5.56  4.93 999 1005.7  -1.1   4.8 999.0 99.0
97 01 03 06  52  3.4  4.3   .36  5.26  4.74 999 1004.9   -.7   5.1 999.0 99.0
97 01 03 07  95  5.1  6.0   .35  5.26  4.60 999 1005.5   -.7   4.8 999.0 99.0
97 01 03 08 107  4.7  5.9   .42  5.26  3.83 999 1004.7   -.4   5.1 999.0 99.0
97 01 03 09 115  5.4  6.6   .47  5.00  3.78 999 1003.5    .4   5.5 999.0 99.0
97 01 03 10 131  5.0  6.4   .49  2.94  3.65 999 1002.7    .9   5.5 999.0 99.0
97 01 03 11 150  4.0  5.6   .50  3.85  3.79 999 1002.4   1.9   5.5 999.0 99.0
97 01 03 12 131  2.8  3.9   .52  3.23  3.82 999 1001.9   2.3   5.5 999.0 99.0
97 01 03 13 352  6.9  8.5   .56  6.67  3.78 999 1001.0   -.3   5.5 999.0 99.0
97 01 03 14 360  8.7 10.1   .65  2.70  3.60 999 1001.2    .0   5.5 999.0 99.0
97 01 03 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 17 360  3.1  3.7   .85  4.00  3.74 999 1001.8  -1.5   5.2 999.0 99.0
97 01 03 18   4  2.7  3.2   .92  4.17  3.92 999 1001.8  -2.1   5.2 999.0 99.0
97 01 03 19 356  2.8  3.4   .95  4.76  4.03 999 1002.4  -2.8   5.5 999.0 99.0
97 01 03 20 356  2.6  3.3   .90  4.76  4.10 999 1003.2  -3.0   5.4 999.0 99.0
97 01 03 21 357  2.2  2.9   .97  4.76  4.22 999 1004.6  -3.1   5.5 999.0 99.0
97 01 03 22   3  2.2  2.7  1.00  5.00  4.39 999 1005.0  -3.4   5.5 999.0 99.0
97 01 03 23   5  2.0  2.6   .96  5.26  4.28 999 1006.0  -2.9   5.6 999.0 99.0
97 01 04 00 360  1.7  2.1   .92  5.26  4.45 999 1007.5  -2.9   5.6 999.0 99.0
97 01 04 01   5  1.9  2.3   .89  5.26  4.54 999 1007.8  -2.8   5.6 999.0 99.0
97 01 04 02   5  1.7  2.1   .82  5.00  4.62 999 1008.5  -2.7   5.6 999.0 99.0
97 01 04 03   5  1.7  2.1   .77  5.00  4.62 999 1009.0  -2.4   5.6 999.0 99.0
97 01 04 04  16  1.7  2.1   .74  5.56  4.70 999 1010.0  -2.4   5.6 999.0 99.0
97 01 04 05  24  1.2  1.7   .72  5.00  4.70 999 1010.3  -2.2   5.6 999.0 99.0
97 01 04 06  14   .7  1.2   .71  5.26  4.96 999 1011.0  -1.9   5.6 999.0 99.0
97 01 04 07 353   .9  1.3   .74  4.76  4.80 999 1011.7  -1.5   5.5 999.0 99.0
97 01 04 08 347  1.4  2.0   .75  4.76  4.72 999 1012.0  -1.5   5.2 999.0 99.0
97 01 04 09 349  1.7  2.2   .72  4.76  4.88 999 1012.4  -1.6   5.1 999.0 99.0
97 01 04 10 348  1.1  1.6   .75  5.26  5.06 999 1012.9  -1.8   5.1 999.0 99.0
97 01 04 11 334   .4   .7   .69  7.69  5.11 999 1014.0  -1.5   5.1 999.0 99.0
97 01 04 12 275   .7  1.2   .64  5.26  4.94 999 1014.2  -1.5   5.1 999.0 99.0
97 01 04 13 274   .3   .7   .65  5.26  5.03 999 1014.8  -1.5   5.1 999.0 99.0
97 01 04 14 352  1.9  2.2   .61  5.26  4.94 999 1014.9  -1.0   5.1 999.0 99.0
97 01 04 15 336   .4   .7   .56  5.00  4.97 999 1016.4   -.4   5.1 999.0 99.0
97 01 04 16 260  1.7  2.6   .59  5.26  5.19 999 1016.8    .0   5.1 999.0 99.0
97 01 04 17 285  1.2  1.8   .57  5.26  5.01 999 1016.5    .1   5.1 999.0 99.0
97 01 04 18 304   .6  1.2   .54  7.69  5.12 999 1016.3    .8   5.1 999.0 99.0
