YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00 230  5.6  7.7   .56 11.11  4.97 999 1017.9  -6.2 999.0 999.0 99.0
1999 01 01 01 235  7.0  8.7   .43 11.11  4.48 999 1017.2  -5.6 999.0 999.0 99.0
1999 01 01 02 233  7.2  9.7   .53 12.50  4.27 999 1016.6  -5.2 999.0 999.0 99.0
1999 01 01 03 234  6.4  7.9   .66 11.11  4.15 999 1015.9  -5.1 999.0 999.0 99.0
1999 01 01 04 258  3.1  5.4   .63 12.50  4.49 999 1015.5  -5.3 999.0 999.0 99.0
1999 01 01 05 234  5.1  7.1   .67 11.11  4.68 999 1015.0  -5.0 999.0 999.0 99.0
1999 01 01 06 233  5.7  8.4   .69 12.50  5.04 999 1014.4  -4.7 999.0 999.0 99.0
1999 01 01 07 230  7.0  8.6   .77 11.11  5.10 999 1014.6  -4.9 999.0 999.0 99.0
1999 01 01 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 01 09 238  7.6  9.4   .90 11.11  5.61 999 1013.7  -4.7 999.0 999.0 99.0
1999 01 01 10 236  7.4  8.6   .88 11.11  4.83 999 1013.2  -4.8 999.0 999.0 99.0
1999 01 01 11 241  9.3 10.7   .82 10.00  4.76 999 1012.7  -4.7 999.0 999.0 99.0
1999 01 01 12 232  9.3 10.9   .88 12.50  4.12 999 1012.4  -5.1 999.0 999.0 99.0
1999 01 01 13 239  9.6 11.7   .88 12.50  4.33 999 1012.1  -5.2 999.0 999.0 99.0
1999 01 01 14 245  9.5 11.5   .87  3.85  3.86 999 1012.3  -5.4 999.0 999.0 99.0
1999 01 01 15 252  9.9 12.1   .90 12.50  3.94 999 1012.6  -5.3 999.0 999.0 99.0
1999 01 01 16 257  8.6 10.4   .85  4.17  3.87 999 1012.3  -5.6 999.0 999.0 99.0
1999 01 01 17 265 12.1 14.4   .98  4.35  3.83 999 1011.5  -3.5 999.0 999.0 99.0
1999 01 01 18 276 14.2 17.7  1.31  3.45  3.96 999 1012.0  -2.9 999.0 999.0 99.0
1999 01 01 19 288 11.8 14.0  1.40  5.00  4.08 999 1014.6  -5.0 999.0 999.0 99.0
1999 01 01 20 289 12.5 15.4  1.11  5.26  3.92 999 1016.0  -5.4 999.0 999.0 99.0
1999 01 01 21 296 13.0 17.0  1.10  3.57  3.76 999 1018.0  -6.6 999.0 999.0 99.0
1999 01 01 22 286 13.9 17.2  1.21  3.57  3.70 999 1020.1  -8.5 999.0 999.0 99.0
1999 01 01 23 293 10.6 14.2   .94  3.33  3.70 999 1023.1 -11.3 999.0 999.0 99.0
1999 01 02 00 294 11.0 13.8   .73  3.45  3.58 999 1024.5 -12.8 999.0 999.0 99.0
1999 01 02 01 293 10.1 13.0   .75  3.33  3.52 999 1026.4 -13.8 999.0 999.0 99.0
1999 01 02 02 293 10.8 13.3   .72  3.23  3.26 999 1027.1 -14.6 999.0 999.0 99.0
1999 01 02 03 296  9.4 11.5 99.00 99.00 99.00 999 1028.4 -15.2 999.0 999.0 99.0
1999 01 02 04 294  6.9  9.1   .51  3.23  3.52 999 1029.7 -16.5 999.0 999.0 99.0
1999 01 02 05 303  6.5  8.8   .49  2.94  3.37 999 1030.9 -17.2 999.0 999.0 99.0
1999 01 02 06 290  7.1  9.7   .53 11.11  3.34 999 1031.7 -17.5 999.0 999.0 99.0
1999 01 02 07 284  7.6  9.9   .48  2.78  3.32 999 1031.7 -17.9 999.0 999.0 99.0
1999 01 02 08 278  6.8  8.5   .50  3.12  3.45 999 1032.3 -17.7 999.0 999.0 99.0
1999 01 02 09 275  7.5  9.7   .65  3.12  3.33 999 1032.3 -17.7 999.0 999.0 99.0
1999 01 02 10 269  8.4 10.1   .64  3.23  3.44 999 1031.8 -17.8 999.0 999.0 99.0
1999 01 02 11 268  8.4 10.8   .60  3.45  3.48 999 1031.8 -17.6 999.0 999.0 99.0
1999 01 02 12 274  7.4  9.2   .62  3.12  3.41 999 1031.4 -17.4 999.0 999.0 99.0
1999 01 02 13 280  6.6  8.2   .57  3.45  3.51 999 1031.6 -17.0 999.0 999.0 99.0
1999 01 02 14 269  5.6  7.0   .50  3.85  3.58 999 1031.9 -16.8 999.0 999.0 99.0
1999 01 02 15 277  4.7  6.6   .45  4.00  3.70 999 1032.3 -16.1 999.0 999.0 99.0
1999 01 02 16 274  4.3  5.5   .40  4.35  3.83 999 1031.6 -14.9 999.0 999.0 99.0
1999 01 02 17 259  4.1  6.1   .40 11.11  4.06 999 1030.6 -13.4 999.0 999.0 99.0
1999 01 02 18 246  5.1  6.9   .34 11.11  4.05 999 1030.4 -11.5 999.0 999.0 99.0
1999 01 02 19 261  5.7  7.8   .33 10.00  4.19 999 1030.0  -9.8 999.0 999.0 99.0
1999 01 02 20 262  6.1  8.1   .32 10.00  3.99 999 1030.2  -8.7 999.0 999.0 99.0
1999 01 02 21 261  7.0  9.5   .40 10.00  3.78 999 1030.6  -7.5 999.0 999.0 99.0
1999 01 02 22 249  5.7  7.8   .54  3.33  3.55 999 1031.3  -7.7 999.0 999.0 99.0
1999 01 02 23 263  6.2  8.5   .58  3.70  3.56 999 1031.4  -8.0 999.0 999.0 99.0
1999 01 03 00 266  6.3  7.3   .56  4.00  3.69 999 1030.9  -8.5 999.0 999.0 99.0
1999 01 03 01 268  5.3  6.8   .47  3.85  3.71 999 1030.3  -8.6 999.0 999.0 99.0
1999 01 03 02 306  4.3  5.3   .41  3.70  3.72 999 1031.1  -8.5 999.0 999.0 99.0
1999 01 03 03 299  3.6  4.4   .35  3.33  3.85 999 1031.5  -8.0 999.0 999.0 99.0
1999 01 03 04 346  1.9  2.9   .31  3.85  3.96 999 1031.7  -7.3 999.0 999.0 99.0
1999 01 03 05  19  2.1  3.2   .27 11.11  4.18 999 1031.6  -5.5 999.0 999.0 99.0
1999 01 03 06  53  5.2  7.5   .24 11.11  4.45 999 1030.4  -5.3 999.0 999.0 99.0
1999 01 03 07  24  4.7  6.9   .29 10.00  3.69 999 1030.6  -5.5 999.0 999.0 99.0
1999 01 03 08  60  5.6  7.8   .31  2.56  3.43 999 1029.9  -4.7 999.0 999.0 99.0
1999 01 03 09  84  4.5  6.5   .32 10.00  3.72 999 1029.5  -4.3 999.0 999.0 99.0
1999 01 03 10  77  7.1  9.6   .50  3.33  3.35 999 1028.5  -4.3 999.0 999.0 99.0
1999 01 03 11  90  5.7  7.7   .55  3.70  3.50 999 1028.0  -3.1 999.0 999.0 99.0
1999 01 03 12 105  6.6  8.6   .51  3.57  3.47 999 1027.3  -1.9 999.0 999.0 99.0
1999 01 03 13 111  6.9  9.1   .58  3.57  3.46 999 1026.6   -.3 999.0 999.0 99.0
1999 01 03 14 114  8.6 11.0   .67  3.70  3.55 999 1025.5    .6 999.0 999.0 99.0
1999 01 03 15 108 10.1 12.6  1.06  4.17  3.76 999 1023.9   1.2 999.0 999.0 99.0
1999 01 03 16 110 12.4 15.6  1.50  4.55  4.21 999 1020.7   2.8 999.0 999.0 99.0
1999 01 03 17 119 12.5 15.2  2.12  5.56  4.72 999 1018.8   3.2 999.0 999.0 99.0
1999 01 03 18 111 12.1 14.8  2.42  6.67  5.30 999 1016.3   3.6 999.0 999.0 99.0
1999 01 03 19 102 12.3 14.7  3.02  7.14  5.83 999 1013.3   4.0 999.0 999.0 99.0
1999 01 03 20  95 11.4 15.0  3.37  7.14  6.14 999 1011.3   4.6 999.0 999.0 99.0
1999 01 03 21  77  8.5 10.5  3.66  8.33  6.42 999 1010.2   4.9 999.0 999.0 99.0
1999 01 03 22  39  9.8 11.7  4.09  8.33  6.87 999 1007.8   4.5 999.0 999.0 99.0
1999 01 03 23  25  9.4 11.2  4.59  9.09  7.23 999 1005.5   3.2 999.0 999.0 99.0
1999 01 04 00   8  9.7 12.5  4.09  9.09  7.08 999 1002.9   1.7 999.0 999.0 99.0
1999 01 04 01  10  9.6 11.4  4.69 10.00  7.62 999  999.3   3.1 999.0 999.0 99.0
1999 01 04 02 354  9.4 11.6  4.58 10.00  7.70 999  997.2   2.8 999.0 999.0 99.0
1999 01 04 03 326  9.8 12.3  4.12 10.00  7.76 999  996.6    .9 999.0 999.0 99.0
1999 01 04 04 296  7.3 10.4  4.57 11.11  7.92 999  998.1    .4 999.0 999.0 99.0
1999 01 04 05 299  6.5  9.2  3.61 10.00  7.46 999  998.9    .3 999.0 999.0 99.0
1999 01 04 06 284  5.6  8.0  3.76 10.00  8.15 999  999.5    .9 999.0 999.0 99.0
1999 01 04 07 246  6.4  7.9  3.41 10.00  8.05 999 1001.0   2.0 999.0 999.0 99.0
1999 01 04 08 226  8.2 10.0  3.09 11.11  7.84 999 1001.5   2.6 999.0 999.0 99.0
1999 01 04 09 224 10.3 12.7  3.30 11.11  7.70 999 1002.1   3.1 999.0 999.0 99.0
1999 01 04 10 234 10.1 12.4  3.35 11.11  7.63 999 1003.2   2.7 999.0 999.0 99.0
1999 01 04 11 248 10.2 13.2  3.07 11.11  7.52 999 1004.5   2.5 999.0 999.0 99.0
1999 01 04 12 253  8.6 11.3  2.34 11.11  7.15 999 1005.9   1.9 999.0 999.0 99.0
1999 01 04 13 248 10.1 12.4  2.54 11.11  7.57 999 1006.5   1.6 999.0 999.0 99.0
1999 01 04 14 248 12.2 15.4  2.59 11.11  7.41 999 1007.3    .3 999.0 999.0 99.0
1999 01 04 15 252 12.0 14.1  2.31 11.11  6.58 999 1008.4   -.9 999.0 999.0 99.0
1999 01 04 16 245 11.8 14.3  2.37 12.50  6.87 999 1008.7  -1.6 999.0 999.0 99.0
1999 01 04 17 254 12.9 16.8  2.16 12.50  6.48 999 1008.7  -1.8 999.0 999.0 99.0
1999 01 04 18 244 10.0 12.3  2.11 12.50  6.42 999 1009.2  -2.0 999.0 999.0 99.0
1999 01 04 19 242 11.9 14.5  2.26 12.50  6.77 999 1008.9  -2.0 999.0 999.0 99.0
1999 01 04 20 240 10.8 13.3  2.15 12.50  6.79 999 1009.9  -1.6 999.0 999.0 99.0
1999 01 04 21 236 11.0 13.5  2.40 11.11  7.12 999 1010.7  -1.9 999.0 999.0 99.0
1999 01 04 22 242 10.6 12.7  2.29 12.50  6.85 999 1011.6  -2.0 999.0 999.0 99.0
1999 01 04 23 247 11.7 14.2  2.04 12.50  6.10 999 1012.6  -2.3 999.0 999.0 99.0
1999 01 05 00 240 11.1 13.8  2.22 12.50  6.44 999 1013.6  -2.7 999.0 999.0 99.0
1999 01 05 01 238 11.1 13.5  2.13 11.11  6.20 999 1014.0  -3.0 999.0 999.0 99.0
1999 01 05 02 238 11.0 13.4  2.02 12.50  6.23 999 1013.9  -3.4 999.0 999.0 99.0
1999 01 05 03 241 11.0 13.8  1.71 12.50  5.51 999 1013.8  -3.6 999.0 999.0 99.0
1999 01 05 04 234 11.6 14.1  1.52 11.11  5.02 999 1014.0  -3.7 999.0 999.0 99.0
1999 01 05 05 242 11.4 14.9  1.58 11.11  5.01 999 1014.1  -3.9 999.0 999.0 99.0
