#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50  15  3.2  4.5  0.67  4.55  4.34 178 1019.9  -1.2   4.7 999.0 99.0 99.00
2010 01 01 00 50   3  4.6  5.4  0.57  4.35  4.41 172 1019.2  -0.6   4.8 999.0 99.0 99.00
2010 01 01 01 50 355  4.5  5.6  0.56  4.35  4.19 178 1018.7  -0.4   4.8 999.0 99.0 99.00
2010 01 01 02 50 351  6.1  7.1  0.54  4.17  4.04 178 1017.7  -0.7   5.0 999.0 99.0 99.00
2010 01 01 03 50 356  6.5  7.5  0.57 13.79  3.80   7 1016.5  -0.8   5.1 999.0 99.0 99.00
2010 01 01 04 50 346  6.5  7.7  0.53 13.79  3.86 326 1015.9  -1.1   5.3 999.0 99.0 99.00
2010 01 01 05 50 351  7.2  8.5  0.55 12.12  3.77  88 1014.7  -1.4   5.5 999.0 99.0 99.00
2010 01 01 06 50 349  7.6  8.9  0.54 11.43  3.81 119 1014.8  -1.6   5.5 999.0 99.0 99.00
2010 01 01 07 50 336  7.7  8.9  0.57 12.90  3.80  61 1014.3  -1.7   5.5 999.0 99.0 99.00
2010 01 01 08 50 332  7.3  8.6  0.56 14.81  4.01  52 1013.5  -1.6   5.5 999.0 99.0 99.00
2010 01 01 09 50 332  6.7  7.9  0.58 12.90  4.28 132 1013.3  -1.8   5.5 999.0 99.0 99.00
2010 01 01 10 50 331  6.8  7.8  0.67  5.00  4.59  93 1012.9  -1.4   5.5 999.0 99.0 99.00
2010 01 01 11 50 321  5.9  6.9  0.76  5.26  4.83  96 1012.8  -1.1   5.6 999.0 99.0 99.00
2010 01 01 12 50 338  6.3  7.7  0.86  5.56  5.04 101 1012.3  -1.1   5.7 999.0 99.0 99.00
2010 01 01 13 50 324  5.4  6.6  1.07  6.67  5.46  85 1012.3  -0.7   5.7 999.0 99.0 99.00
2010 01 01 14 50 337  6.2  7.4  1.37  6.67  5.85  95 1011.7  -0.2   5.8 999.0 99.0 99.00
2010 01 01 15 50  75  9.9 12.0  1.52  7.14  5.77  90 1010.2   3.7   5.9 999.0 99.0 99.00
2010 01 01 16 50  80  9.3 10.9  1.95  7.69  5.48  90 1009.4   3.3   6.0 999.0 99.0 99.00
2010 01 01 17 50  66  9.6 11.0  2.15  7.69  5.63  84 1009.3   3.0   6.2 999.0 99.0 99.00
2010 01 01 18 50  60 10.3 12.4  2.18  8.33  5.77  94 1008.6   2.8   6.3 999.0 99.0 99.00
