YYYY,MM,DD,hh,mm_mn,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2003,5,19,23,,220,3.6,4.1,0.7,10.0,7.67,,1026.3,8.5,999.0,6.0,,
2003,5,20,0,,217,4.2,4.8,0.69,10.0,7.06,,1026.2,8.2,999.0,4.3,,
2003,5,20,1,,218,4.3,5.0,0.7,10.0,6.34,,1026.2,7.8,999.0,4.9,,
2003,5,20,2,,228,5.1,5.9,0.72,10.81,5.92,,1026.2,8.0,999.0,4.9,,
2003,5,20,3,,247,5.4,6.1,0.68,10.0,5.57,,1025.9,7.8,999.0,4.5,,
2003,5,20,4,,256,5.1,5.8,0.69,10.0,5.53,,1025.7,7.4,999.0,4.4,,
2003,5,20,5,,252,5.7,6.4,0.69,10.81,5.59,,1025.2,7.7,999.0,4.1,,
2003,5,20,6,,249,4.6,5.2,0.71,10.0,5.39,,1025.0,7.4,999.0,4.3,,
2003,5,20,7,,253,4.4,4.9,0.73,11.43,5.8,,1024.8,7.6,999.0,3.9,,
2003,5,20,8,,256,4.5,5.0,0.66,10.0,5.87,,1024.2,7.7,999.0,4.2,,
2003,5,20,9,,269,4.1,4.8,0.69,10.81,6.13,,1024.3,7.8,999.0,4.1,,
2003,5,20,10,,271,2.7,3.3,0.73,10.0,6.74,,1024.2,7.7,999.0,4.2,,
2003,5,20,11,,228,2.7,3.1,0.65,10.0,6.9,,1024.3,7.6,999.0,4.5,,
2003,5,20,12,,220,3.8,4.3,0.64,10.0,6.74,,1024.2,7.6,999.0,4.7,,
2003,5,20,13,,235,3.2,3.8,0.48,10.0,5.76,,1024.0,7.6,999.0,5.0,,
2003,5,20,14,,215,3.4,4.0,0.55,10.81,5.48,,1023.8,7.8,999.0,5.3,,
2003,5,20,15,,216,4.3,4.8,0.57,10.0,5.0,,1022.9,7.8,6.4,5.6,,
2003,5,20,16,,206,5.1,5.9,0.61,10.0,4.81,,1022.4,8.0,6.5,5.8,,
2003,5,20,17,,209,5.3,5.8,0.56,10.0,4.9,,1021.8,8.4,6.6,5.9,,
2003,5,20,18,,214,6.5,7.4,0.63,9.09,4.92,,1020.9,8.7,7.1,6.1,,
2003,5,20,19,,215,6.0,6.7,0.61,8.33,4.44,,1020.3,8.9,7.1,6.3,,
2003,5,20,20,,215,7.5,8.5,0.79,10.0,4.11,,1019.5,8.9,7.0,6.4,,
2003,5,20,21,,213,6.0,6.8,0.76,10.0,4.35,,1019.2,9.2,7.0,6.2,,
2003,5,20,22,,234,5.9,6.9,0.96,10.0,4.32,,1019.2,9.3,6.9,6.0,,
2003,5,20,23,,221,5.3,6.4,0.94,4.35,4.64,,1019.0,9.0,6.8,6.2,,
2003,5,21,0,,225,5.1,6.1,0.79,9.09,4.41,,1018.7,8.9,6.2,5.8,,
2003,5,21,1,,232,4.9,5.4,0.74,8.33,4.36,,1018.6,8.4,5.9,5.6,,
2003,5,21,2,,246,3.9,4.5,0.72,8.33,4.34,,1018.8,8.2,5.7,5.3,,
2003,5,21,3,,242,3.5,3.8,0.76,9.09,4.47,,1018.4,7.7,5.9,5.2,,
2003,5,21,4,,236,5.3,5.9,0.81,3.85,4.41,,1018.0,8.3,5.8,5.2,,
2003,5,21,5,,232,5.6,6.4,0.92,4.35,4.23,,1017.6,8.4,5.8,5.1,,
2003,5,21,6,,237,6.6,7.5,0.87,4.55,4.26,,1017.3,8.8,5.8,4.9,,
2003,5,21,7,,234,6.5,7.5,0.88,4.55,4.12,,1017.1,8.8,5.8,5.0,,
2003,5,21,8,,242,6.4,7.3,0.84,4.55,4.05,,1017.0,8.9,5.9,5.1,,
2003,5,21,9,,236,6.8,7.6,0.88,10.0,4.19,,1016.8,8.8,5.8,5.1,,
2003,5,21,10,,237,6.3,7.1,0.92,5.0,4.39,,1017.0,9.1,5.8,5.0,,
2003,5,21,11,,225,6.4,7.3,0.86,5.26,4.4,,1017.3,8.8,5.6,5.0,,
