#YY_#yr,MM_mo,DD_dy,hh_hr,mm_mn,WDIR_degT,WSPD_m/s,GST_m/s,WVHT_m,DPD_sec,APD_sec,MWD_deg,PRES_hPa,ATMP_degC,WTMP_degC,DEWP_degC,VIS_nmi,TIDE_ft
2009,12,31,23,50,126,8.1,9.5,0.98,3.85,3.6,,1022.2,2.2,7.6,1.1,,
2010,1,1,0,50,113,10.0,12.0,1.1,4.55,3.71,,1021.4,2.1,7.7,1.7,,
2010,1,1,1,50,109,10.0,11.9,1.38,4.76,3.93,,1020.6,2.4,7.7,2.1,,
2010,1,1,2,50,121,11.1,13.6,1.44,5.26,4.06,,1020.0,2.9,7.6,2.2,,
2010,1,1,3,50,118,10.6,13.1,1.8,5.88,4.44,,1019.2,3.0,7.6,2.0,,
2010,1,1,4,50,115,10.3,12.0,1.68,5.88,4.47,,1017.8,2.8,7.5,1.6,,
2010,1,1,5,50,109,10.7,12.4,1.79,5.56,4.58,,1017.0,2.6,7.5,1.4,,
2010,1,1,6,50,97,10.7,12.5,1.69,5.56,4.45,,1017.1,2.4,7.6,0.9,,
2010,1,1,7,50,92,10.5,12.4,1.92,5.56,4.7,,1016.4,2.5,7.7,1.0,,
2010,1,1,8,50,85,10.9,13.4,1.78,5.88,4.47,,1015.4,1.9,7.7,0.7,,
2010,1,1,9,50,80,10.9,12.8,1.57,5.56,4.37,,1014.7,1.5,7.6,0.9,,
2010,1,1,10,50,68,10.4,12.0,1.87,5.0,4.57,,1014.4,1.3,7.6,0.5,,
2010,1,1,11,50,65,10.9,12.5,1.83,5.26,4.63,,1014.1,1.0,7.6,0.2,,
2010,1,1,12,50,61,11.6,13.8,2.03,6.25,4.92,,1013.7,0.7,7.6,0.3,,
2010,1,1,13,50,63,12.5,14.8,2.23,6.25,5.05,,1013.1,0.3,7.5,-0.1,,
2010,1,1,14,50,64,12.7,14.7,2.47,5.88,5.3,,1012.5,0.3,7.5,-0.7,,
2010,1,1,15,50,61,12.0,15.3,2.43,5.88,5.05,,1011.8,0.4,7.4,-0.3,,
2010,1,1,16,50,69,12.0,14.5,2.52,6.25,5.11,,1011.1,-0.1,7.5,-0.5,,
2010,1,1,17,50,58,12.5,14.8,2.46,6.67,4.91,,1010.6,-0.3,7.5,-0.7,,
2010,1,1,18,50,50,12.5,14.9,2.27,5.56,4.73,,1010.5,-0.2,7.6,-0.6,,
2010,1,1,19,50,53,13.5,15.5,,,,,1009.6,0.1,7.7,-0.2,,
2010,1,1,20,50,60,12.8,15.6,2.29,5.56,4.56,,1009.9,0.2,7.6,-0.8,,
2010,1,1,21,50,57,12.1,14.1,2.25,5.88,4.8,,1010.1,0.9,7.5,0.1,,
2010,1,1,22,50,58,11.1,13.2,2.25,5.88,4.96,,1009.9,1.3,7.5,0.5,,
2010,1,1,23,50,51,12.0,14.7,2.14,6.67,5.09,,1009.3,1.1,7.5,0.5,,
2010,1,2,0,50,51,11.5,14.7,2.26,7.69,5.33,,1008.5,0.9,7.6,999.0,,
2010,1,2,1,50,51,11.7,13.7,2.39,7.14,5.48,,1007.7,1.1,7.6,999.0,,
2010,1,2,2,50,51,12.3,15.2,2.25,5.88,5.33,,1006.4,1.0,7.6,999.0,,
2010,1,2,3,50,62,12.2,14.2,2.31,5.56,5.22,,1005.7,1.0,7.6,999.0,,
2010,1,2,4,50,63,12.4,14.6,2.48,6.25,5.04,,1005.0,0.9,7.6,999.0,,
2010,1,2,5,50,62,12.0,14.0,2.62,5.88,5.07,,1003.5,1.1,7.5,999.0,,
2010,1,2,6,50,72,12.9,15.0,2.66,6.67,4.93,,1003.9,1.3,7.5,999.0,,
2010,1,2,7,50,63,12.1,14.5,2.64,5.88,4.98,,1003.2,0.8,7.5,999.0,,
2010,1,2,8,50,47,12.9,15.4,2.34,5.88,4.71,,1002.0,0.7,7.5,999.0,,
2010,1,2,9,50,47,13.6,15.9,2.42,6.67,4.86,,1001.1,0.7,7.5,999.0,,
2010,1,2,10,50,39,12.8,15.7,2.32,5.88,4.89,,1000.1,0.5,7.5,999.0,,
2010,1,2,11,50,34,13.8,16.8,2.72,7.14,5.31,,999.2,-0.1,7.5,999.0,,
2010,1,2,12,50,28,14.4,17.8,2.72,7.14,5.54,,998.0,-0.8,7.5,999.0,,
2010,1,2,13,50,33,14.4,18.5,2.68,7.69,5.52,,996.8,-0.7,7.5,999.0,,
2010,1,2,14,50,23,14.5,17.6,2.68,7.14,5.58,,995.3,-0.3,7.5,999.0,,
2010,1,2,15,50,18,13.9,16.4,2.59,6.67,5.35,,993.7,-0.6,7.6,999.0,,
2010,1,2,16,50,11,14.2,17.3,2.74,7.14,5.25,,991.8,-0.6,7.6,999.0,,
2010,1,2,17,50,8,14.7,17.4,2.52,7.14,5.07,,990.4,-1.0,7.7,999.0,,
2010,1,2,18,50,4,14.5,17.4,2.6,5.88,5.11,,988.9,-1.1,7.7,999.0,,
2010,1,2,19,50,356,14.9,17.5,2.61,5.88,4.84,,987.7,-1.1,7.7,999.0,,
2010,1,2,20,50,352,15.0,17.6,2.49,6.25,4.81,,986.5,-1.2,7.7,999.0,,
2010,1,2,21,50,350,15.4,18.2,2.7,5.56,4.97,,984.4,-1.1,7.6,999.0,,
2010,1,2,22,50,344,15.9,18.9,2.68,5.26,5.09,,982.4,-1.7,7.6,999.0,,
2010,1,2,23,50,339,15.3,18.6,2.55,5.88,5.14,,980.7,-1.8,7.6,999.0,,
2010,1,3,0,50,339,14.7,19.2,2.6,5.56,5.23,,978.2,-0.9,7.7,999.0,,
2010,1,3,1,50,338,15.0,18.7,2.52,5.88,5.18,,975.3,-0.6,7.7,999.0,,
2010,1,3,2,50,337,14.4,17.4,2.58,5.88,5.12,,973.8,-0.4,7.8,999.0,,
2010,1,3,3,50,331,12.5,16.0,2.26,5.56,5.05,,972.5,-0.1,7.8,999.0,,
2010,1,3,4,50,329,10.6,12.2,1.97,5.56,4.87,,972.1,0.0,7.8,999.0,,
2010,1,3,5,50,338,7.4,9.3,1.72,5.0,4.66,,973.0,0.5,7.7,999.0,,
2010,1,3,6,50,29,5.2,6.5,1.47,7.14,4.97,,974.7,1.4,7.2,999.0,,
2010,1,3,7,50,79,5.2,6.6,1.41,7.69,5.03,,975.9,2.7,7.2,999.0,,
2010,1,3,8,50,115,8.6,10.0,1.27,5.56,4.76,,977.0,3.2,7.2,999.0,,
2010,1,3,9,50,111,9.4,11.4,1.35,7.14,4.38,,978.5,2.3,7.3,999.0,,
2010,1,3,10,50,92,7.5,9.0,1.55,7.69,4.34,,980.0,2.1,7.4,999.0,,
2010,1,3,11,50,96,9.5,10.9,1.64,7.69,4.51,,981.0,1.9,7.3,999.0,,
2010,1,3,12,50,74,10.8,12.9,1.67,5.26,4.45,,981.9,2.3,7.4,999.0,,
2010,1,3,13,50,76,9.9,12.2,1.59,5.26,4.57,,982.7,2.6,7.4,999.0,,
2010,1,3,14,50,89,9.4,11.6,1.41,5.0,4.5,,983.2,2.9,7.3,999.0,,
2010,1,3,15,50,88,7.6,9.7,1.4,10.0,4.64,,982.9,3.2,7.3,999.0,,
2010,1,3,16,50,79,4.7,6.3,1.22,4.76,4.57,,982.9,2.8,7.3,999.0,,
2010,1,3,17,50,60,3.9,5.9,1.27,10.81,4.85,,983.2,2.8,7.3,999.0,,
2010,1,3,18,50,26,4.0,4.9,1.26,11.43,5.01,,983.6,1.6,7.2,999.0,,
2010,1,3,19,50,351,5.1,6.1,1.28,12.9,5.59,,983.9,1.2,7.2,999.0,,
2010,1,3,20,50,18,13.1,15.4,1.4,10.0,3.95,,983.4,2.7,7.1,999.0,,
2010,1,3,21,50,18,13.8,16.4,1.86,5.26,4.26,,983.8,2.7,7.3,999.0,,
2010,1,3,22,50,18,13.7,16.5,1.81,4.76,4.29,,984.5,2.8,7.2,999.0,,
2010,1,3,23,50,19,13.2,15.9,2.05,5.0,4.76,,984.6,3.1,7.1,999.0,,
2010,1,4,0,50,8,12.9,16.4,2.18,5.26,4.85,,984.8,3.0,7.1,999.0,,
2010,1,4,1,50,359,13.0,16.6,2.14,5.26,5.04,,984.4,2.9,7.1,999.0,,
2010,1,4,2,50,349,13.0,16.0,2.07,10.0,5.34,,984.0,2.6,7.1,999.0,,
2010,1,4,3,50,348,13.0,16.5,1.95,5.26,4.96,,983.9,2.9,7.2,999.0,,
2010,1,4,4,50,348,13.0,15.8,2.09,10.81,5.25,,983.5,3.1,7.2,999.0,,
2010,1,4,5,50,343,13.5,16.2,1.94,4.76,4.76,,983.3,3.1,7.2,999.0,,
2010,1,4,6,50,337,13.7,16.6,1.98,4.76,4.55,,983.7,3.1,7.3,999.0,,
2010,1,4,7,50,336,14.2,17.0,2.02,5.26,4.46,,984.0,2.9,7.2,999.0,,
