YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 290  8.5 10.1  1.72  7.69  5.15 999 1013.4   3.6   6.9 999.0 99.0 99.00
2004 01 01 01 267  7.2  8.9  1.50  7.14  5.11 999 1012.7   3.7   6.9 999.0 99.0 99.00
2004 01 01 02 260  5.3  6.7  1.43  7.69  5.40 999 1012.1   4.0   6.9 999.0 99.0 99.00
2004 01 01 03 234  4.0  5.2  1.30  7.14  5.36 999 1011.0   4.3   6.9 999.0 99.0 99.00
2004 01 01 04 241  3.6  4.7  1.20  7.14  5.18 999 1010.0   4.8   6.9 999.0 99.0 99.00
2004 01 01 05 241  4.2  5.2  1.18  7.14  5.10 999 1008.1   5.5   6.9 999.0 99.0 99.00
2004 01 01 06 248  5.8  8.4  1.30  6.67  5.15 999 1007.0   5.1   6.9 999.0 99.0 99.00
2004 01 01 07 281  8.2  9.6  1.18  6.67  4.73 999 1006.5   6.3   6.9 999.0 99.0 99.00
2004 01 01 08 293 10.2 12.5  1.34  4.55  4.36 999 1007.1   4.9   6.8 999.0 99.0 99.00
2004 01 01 09 314  8.5 10.8  1.40  8.33  4.66 999 1007.9   2.4   6.8 999.0 99.0 99.00
2004 01 01 10 303  8.3 10.1  1.69  6.67  4.82 999 1008.6   1.7   6.8 999.0 99.0 99.00
2004 01 01 11 315 11.9 15.2  2.01  7.14  5.08 999 1009.7   1.5   6.8 999.0 99.0 99.00
2004 01 01 12 321 11.5 14.6  2.32  9.09  5.34 999 1011.1   1.1   6.8 999.0 99.0 99.00
2004 01 01 13 315 11.1 14.0  2.34  9.09  5.54 999 1012.9   1.3   6.8 999.0 99.0 99.00
2004 01 01 14 318 10.6 12.7  2.37  9.09  5.68 999 1014.7   1.6   6.8 999.0 99.0 99.00
2004 01 01 15 308 10.8 13.2  2.17  8.33  5.58 999 1015.9   1.5   6.8 999.0 99.0 99.00
2004 01 01 16 304 11.7 13.8  1.90  8.33  5.04 999 1015.9   2.2   6.9 999.0 99.0 99.00
2004 01 01 17 296 10.5 12.6  1.89  8.33  5.11 999 1015.8   3.0   6.9 999.0 99.0 99.00
2004 01 01 18 298 10.7 13.1  2.11  7.69  5.07 999 1016.0   3.5   6.9 999.0 99.0 99.00
2004 01 01 19 310 10.1 12.1  2.08  7.69  5.23 999 1016.3   3.7   6.9 999.0 99.0 99.00
2004 01 01 20 307 10.1 12.8  1.97  8.33  5.21 999 1016.8   4.0   6.8 999.0 99.0 99.00
2004 01 01 21 306 10.4 13.3  2.03  7.69  5.08 999 1017.6   3.9   6.8 999.0 99.0 99.00
2004 01 01 22 312 10.2 12.3  1.86  7.14  4.78 999 1018.7   3.5   6.8 999.0 99.0 99.00
2004 01 01 23 308 11.1 13.7  1.89  7.14  4.71 999 1019.2   2.8   6.8 999.0 99.0 99.00
2004 01 02 00 313 10.9 13.4  1.83  5.00  4.61 999 1020.2   2.0   6.8 999.0 99.0 99.00
2004 01 02 01 317 10.8 12.4  1.69  4.76  4.62 999 1020.8   1.2   6.8 999.0 99.0 99.00
2004 01 02 02 322 10.7 12.6  1.63  4.00  4.46 999 1021.6   0.6   6.7 999.0 99.0 99.00
2004 01 02 03 324  8.7 10.4  1.46  4.00  4.29 999 1022.6   0.1   6.7 999.0 99.0 99.00
2004 01 02 04 327  9.1 10.8  1.28  3.57  4.20 999 1022.1  -0.2   6.7 999.0 99.0 99.00
2004 01 02 05 319  7.6  9.6  1.21  3.85  4.04 999 1023.0  -1.0   6.7 999.0 99.0 99.00
2004 01 02 06 323  8.9 10.2  1.11  3.70  3.94 999 1023.2  -1.3   6.7 999.0 99.0 99.00
2004 01 02 07 327  5.8  7.2  1.06  3.85  4.03 999 1023.9  -1.8   6.7 999.0 99.0 99.00
2004 01 02 08 344  8.6 10.2  0.93  4.00  3.88 999 1023.8  -2.4   6.7 999.0 99.0 99.00
2004 01 02 09 349  5.8  7.5  0.88  3.70  4.00 999 1024.0  -3.1   6.6 999.0 99.0 99.00
2004 01 02 10 360  4.9  6.4  0.78  3.85  4.09 999 1024.1  -3.3   6.6 999.0 99.0 99.00
2004 01 02 11   4  3.8  5.9  0.77  4.00  4.01 999 1024.7  -3.6   6.6 999.0 99.0 99.00
2004 01 02 12  22  5.2  6.8  0.77  8.33  3.92 999 1024.7  -4.7   6.5 999.0 99.0 99.00
2004 01 02 13   4  5.3  7.0  0.78  8.33  3.91 999 1026.0  -5.0   6.5 999.0 99.0 99.00
2004 01 02 14  13  5.7  7.7  0.87  7.69  3.97 999 1026.0  -5.5   6.5 999.0 99.0 99.00
2004 01 02 15   3  5.4  7.6  0.86  3.70  3.72 999 1026.7  -5.8   6.6 999.0 99.0 99.00
2004 01 02 16 341  5.1  7.0  0.75  3.45  3.69 999 1026.1  -5.6   6.6 999.0 99.0 99.00
2004 01 02 17   4  4.0  6.0  0.69  3.33  3.59 999 1024.6  -5.5   6.6 999.0 99.0 99.00
2004 01 02 18 355  2.9  4.7  0.60  7.69  3.79 999 1024.6  -5.0   6.5 999.0 99.0 99.00
2004 01 02 19 353  4.0  5.4  0.54  8.33  4.15 999 1024.5  -4.5   6.5 999.0 99.0 99.00
2004 01 02 20 346  4.1  5.5  0.47  7.69  4.28 999 1024.4  -4.5   6.5 999.0 99.0 99.00
2004 01 02 21 357  3.9  5.2  0.48  9.09  4.21 999 1024.4  -4.0   6.5 999.0 99.0 99.00
2004 01 02 22 345  1.9  3.9  0.50  7.69  4.70 999 1024.5  -3.7   6.5 999.0 99.0 99.00
2004 01 02 23  21  1.6  3.3  0.47  7.69  4.68 999 1024.1  -3.3   6.5 999.0 99.0 99.00
2004 01 03 00  46  4.0  5.4  0.49  7.69  4.93 999 1023.9  -2.9   6.4 999.0 99.0 99.00
2004 01 03 01  64  4.0  5.1  0.50  8.33  5.06 999 1023.6  -2.0   6.5 999.0 99.0 99.00
2004 01 03 02  66  4.4  5.7  0.46  8.33  4.93 999 1023.7  -1.3   6.5 999.0 99.0 99.00
2004 01 03 03  73  3.3  5.0  0.49  7.14  5.05 999 1024.4  -0.9   6.5 999.0 99.0 99.00
2004 01 03 04  62  4.8  6.2  0.50  7.14  4.82 999 1023.7  -0.6   6.5 999.0 99.0 99.00
2004 01 03 05  91  4.0  5.7  0.49  6.67  4.12 999 1023.7   0.1   6.6 999.0 99.0 99.00
2004 01 03 06 102  3.6  5.6  0.52  7.69  4.20 999 1024.0   0.7   6.6 999.0 99.0 99.00
2004 01 03 07 122  4.8  6.4  0.51  7.14  4.27 999 1024.0   1.3   6.6 999.0 99.0 99.00
2004 01 03 08 115  6.9  8.5  0.60  7.14  3.49 999 1022.8   1.0   6.6 999.0 99.0 99.00
2004 01 03 09 121  6.8  8.4  0.77  3.23  3.54 999 1022.1   0.9   6.6 999.0 99.0 99.00
2004 01 03 10 124  7.0  9.0  0.89  3.45  3.60 999 1021.5   1.6   6.6 999.0 99.0 99.00
2004 01 03 11 118  8.6 10.6  1.00  4.00  3.78 999 1020.1   2.4   6.6 999.0 99.0 99.00
2004 01 03 12 131  9.9 11.5  1.29  4.55  3.93 999 1019.8   3.1   6.6 999.0 99.0 99.00
2004 01 03 13 131  9.6 11.5  1.54  5.00  4.10 999 1020.0   3.5   6.7 999.0 99.0 99.00
2004 01 03 14 127  9.7 11.2  1.60  5.26  4.32 999 1019.9   3.6   6.7 999.0 99.0 99.00
2004 01 03 15 128 10.8 14.2  1.80  5.56  4.51 999 1018.8   3.7   6.7 999.0 99.0 99.00
2004 01 03 16 135 11.3 13.0  2.06  5.88  4.91 999 1017.4   3.9   6.7 999.0 99.0 99.00
2004 01 03 17 134 11.6 13.2  2.29  5.88  4.99 999 1014.7   4.1   6.7 999.0 99.0 99.00
2004 01 03 18 134 11.6 13.4  2.52  6.25  5.23 999 1013.6   4.3   6.7 999.0 99.0 99.00
2004 01 03 19 140 10.5 12.8  2.54  6.67  5.23 999 1013.1   5.1   6.7 999.0 99.0 99.00
2004 01 03 20 145  9.1 11.1  2.55  6.25  5.34 999 1012.9   5.7   6.7 999.0 99.0 99.00
2004 01 03 21 140  9.2 11.5  2.45  7.14  5.37 999 1011.0   6.2   6.8 999.0 99.0 99.00
2004 01 03 22 179  5.6  6.6  2.45  7.14  5.42 999 1011.7   6.9   6.8 999.0 99.0 99.00
2004 01 03 23 212  4.4  5.2  2.04  6.67  5.31 999 1011.5   6.9   6.8 999.0 99.0 99.00
2004 01 04 00 212  3.9  4.7  1.80  6.25  5.07 999 1010.6   6.8   6.8 999.0 99.0 99.00
2004 01 04 01 230  3.9  4.8  1.63  6.67  5.15 999 1011.0   6.6   6.4 999.0 99.0 99.00
2004 01 04 02 262  4.4  5.4  1.56  6.25  5.11 999 1011.0   6.5   6.3 999.0 99.0 99.00
2004 01 04 03 253  4.2  4.8  1.31  5.88  4.85 999 1010.3   6.0   6.3 999.0 99.0 99.00
2004 01 04 04 201  3.8  4.3  1.18  5.88  4.84 999 1008.9   6.0   6.3 999.0 99.0 99.00
