YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 19 19 00 196  1.4  3.3  0.39  9.09  4.94 999 1025.9 -10.0   4.9 -13.6 99.0 99.00
2005 01 19 20 00 197  2.6  4.6  0.40 11.43  5.55 999 1024.9  -8.8   5.1 -12.4 99.0 99.00
2005 01 19 21 00 174  3.9  5.8  0.40  8.33  5.94 999 1024.0  -7.4   5.2 -11.2 99.0 99.00
2005 01 19 22 00 180  5.7  8.5  0.42  9.09  4.63 999 1022.8  -6.0   5.2 -10.2 99.0 99.00
2005 01 19 23 00 174  7.6 10.2  0.57  2.94  3.26 999 1021.6  -4.6   5.3  -9.2 99.0 99.00
2005 01 20 00 00 173  8.6 10.9  0.85  3.23  3.49 999 1020.4  -3.5   5.3  -8.1 99.0 99.00
2005 01 20 01 00 165 10.1 12.8  0.96  4.35  3.72 999 1018.9  -2.5   5.3  -7.3 99.0 99.00
2005 01 20 02 00 172 11.4 14.9  1.16  4.55  3.97 999 1017.3  -1.7   5.3  -5.9 99.0 99.00
2005 01 20 03 00 161 11.9 14.3  1.56  5.00  4.36 999 1015.7  -1.1   5.3  -5.6 99.0 99.00
2005 01 20 04 00 159 13.7 16.5  2.03  5.56  4.77 999 1014.2  -0.8   5.3  -4.5 99.0 99.00
2005 01 20 05 00 157 13.6 16.9  2.18  6.25  4.93 999 1012.5  -0.1   5.3  -4.7 99.0 99.00
2005 01 20 06 00 149 13.7 15.9  2.48  6.25  5.14 999 1010.8   0.0   5.3  -4.2 99.0 99.00
2005 01 20 07 00 150 13.3 16.6  2.78  6.25  5.37 999 1009.6   0.3   5.4  -3.3 99.0 99.00
2005 01 20 08 00 144 14.4 18.0  3.05  6.67  5.45 999 1007.6   0.4   5.4  -2.0 99.0 99.00
2005 01 20 09 00 140 15.2 18.8  3.18  6.67  5.60 999 1005.4   0.8   5.4  -1.2 99.0 99.00
2005 01 20 10 00 136 15.5 18.6  4.03  7.14  6.22 999 1003.4   1.2   5.5  -0.6 99.0 99.00
2005 01 20 11 00 133 15.8 19.1  4.50  8.33  6.56 999 1002.1   1.3   5.6  -0.2 99.0 99.00
2005 01 20 12 00 131 15.6 19.2  4.02  7.69  6.37 999 1000.8   1.1   5.6  -0.1 99.0 99.00
2005 01 20 13 00 119 15.5 19.0  4.16  8.33  6.54 999  999.6   0.6   5.5  -0.7 99.0 99.00
2005 01 20 14 00  93 12.3 15.4  3.53  8.33  6.43 999  998.5   0.3 999.0  -0.9 99.0 99.00
2005 01 20 15 00  83  8.3 10.4  2.94  8.33  6.13 999  996.9   0.2   5.4  -0.9 99.0 99.00
2005 01 20 16 00 338  8.2 12.2  3.14  8.33  6.24 999  994.0   0.3   5.3  -0.5 99.0 99.00
2005 01 20 17 00 316 18.9 23.5  3.12  9.09  5.47 999  991.8  -3.4   5.3  -4.7 99.0 99.00
2005 01 20 18 00 320 19.2 23.2  3.59  6.25  5.70 999  992.5  -3.9   5.2  -5.2 99.0 99.00
2005 01 20 19 00 312 18.3 21.5  3.65  6.67  5.67 999  994.8  -4.1   5.3  -5.5 99.0 99.00
2005 01 20 20 00 308 18.4 22.6  3.44  6.67  5.56 999  997.4  -4.5   5.2  -6.1 99.0 99.00
2005 01 20 21 00 303 15.6 19.4  2.72  5.88  5.40 999 1000.0  -4.8   5.2  -6.6 99.0 99.00
2005 01 20 22 00 311 15.5 19.3  2.81  6.67  5.38 999 1001.7  -5.2   5.2  -7.4 99.0 99.00
2005 01 20 23 00 309 15.4 19.2  2.43  6.25  5.04 999 1002.8  -5.8   5.2  -8.3 99.0 99.00
2005 01 21 00 00 305 13.2 16.3  2.39  6.25  5.17 999 1004.3  -5.9   5.2  -8.3 99.0 99.00
2005 01 21 01 00 307 11.4 15.3  2.26  6.25  5.14 999 1005.1  -7.0   5.2  -9.4 99.0 99.00
2005 01 21 02 00 313 14.4 17.4  2.19  6.25  5.16 999 1005.3  -7.7   5.3 -10.2 99.0 99.00
2005 01 21 03 00 310 13.0 16.7  2.04  6.25  5.15 999 1006.1  -8.5   5.5 -11.0 99.0 99.00
